"x","y","cell_id","population","infected_DM_0","infected_DM_1","infected_DM_2","infected_DM_3","u","var","sd","IoD","CoV"
-2.2655963,53.4294419,8685600517058320384,38,0,2,1,2,1.25,0.916666666666667,0.957427107756338,0.733333333333333,0.765941686205071
-2.2656636,53.4402279,-6954263172235078656,58,0,1,3,3,1.75,2.25,1.5,1.28571428571429,0.857142857142857
-2.2656917,53.4447221,-7903444783360770048,59,3,5,6,0,3.5,7,2.64575131106459,2,0.755928946018455
-2.2657816,53.4591036,8320480176660514816,166,5,2,7,3,4.25,4.91666666666667,2.21735578260835,1.15686274509804,0.521730772378434
-2.2658602,53.4716873,3409797590989018624,125,4,1,1,2,2,2,1.4142135623731,1,0.707106781186548
-2.2659897,53.4923604,-2365718945364224512,62,0,3,0,1,1,2,1.4142135623731,2,1.4142135623731
-2.2661361,53.51573,-269399527869249824,18,0,0,0,1,0.25,0.25,0.5,1,2
-2.26617,53.521123,-2832039098631267840,122,1,1,2,0,1,0.666666666666667,0.816496580927726,0.666666666666667,0.816496580927726
-2.2641192,53.4339394,-55301616101183768,54,3,2,0,2,1.75,1.58333333333333,1.25830573921179,0.904761904761905,0.719031850978167
-2.2641527,53.4393324,-1799129505341421824,68,2,4,2,3,2.75,0.916666666666667,0.957427107756338,0.333333333333333,0.348155311911396
-2.2641806,53.4438266,-6922193285528309760,42,1,3,1,2,1.75,0.916666666666667,0.957427107756338,0.523809523809524,0.547101204432193
-2.2643314,53.4680953,7313461786683338752,27,3,0,1,0,1,2,1.4142135623731,2,1.4142135623731
-2.2643426,53.4698929,-5119406691067266048,46,1,3,2,2,2,0.666666666666667,0.816496580927726,0.333333333333333,0.408248290463863
-2.2644656,53.4896673,536622626575638272,58,1,0,1,0,0.5,0.333333333333333,0.577350269189626,0.666666666666667,1.15470053837925
-2.2645216,53.4986556,-7877119818569645056,55,0,1,0,1,0.5,0.333333333333333,0.577350269189626,0.666666666666667,1.15470053837925
-2.2625364,53.4213589,-5441153801290021888,93,0,1,0,0,0.25,0.25,0.5,1,2
-2.2625531,53.4240555,-5944133414741826560,35,0,1,0,0,0.25,0.25,0.5,1,2
-2.2626418,53.4384369,-5608213471952671744,68,2,2,1,2,1.75,0.25,0.5,0.142857142857143,0.285714285714286
-2.262664,53.4420323,-6104919003042739200,74,2,2,2,5,2.75,2.25,1.5,0.818181818181818,0.545454545454545
-2.2626751,53.44383,4841772569815309312,21,0,0,1,0,0.25,0.25,0.5,1,2
-2.2627028,53.4483242,605508225165856512,46,0,0,1,0,0.25,0.25,0.5,1,2
-2.2627695,53.4591102,5228304199853583360,192,7,4,3,8,5.5,5.66666666666667,2.38047614284762,1.03030303030303,0.432813844154112
-2.2628028,53.4645032,-4914485009058254848,65,0,1,1,4,1.5,3,1.73205080756888,2,1.15470053837925
-2.2628473,53.4716939,-4730014491813090304,200,5,5,5,9,6,4,2,0.666666666666667,0.333333333333333
-2.2631144,53.5148379,-3073497136195454464,31,1,0,0,0,0.25,0.25,0.5,1,2
-2.2631423,53.519332,3627737104511066624,208,1,3,3,1,2,1.33333333333333,1.15470053837925,0.666666666666667,0.577350269189626
-2.2612027,53.4492263,-2768365916960628224,37,1,1,4,2,2,2,1.4142135623731,1,0.707106781186548
-2.2614182,53.4842809,974804121586507520,136,4,1,3,3,2.75,1.58333333333333,1.25830573921179,0.575757575757576,0.457565723349742
-2.2615178,53.5004599,525851067126723328,48,2,0,0,2,1,1.33333333333333,1.15470053837925,1.33333333333333,1.15470053837925
-2.2615843,53.5112459,6352954652170279936,42,1,0,2,1,1,0.666666666666667,0.816496580927726,0.666666666666667,0.816496580927726
-2.2595928,53.4321516,-3186463172877651456,34,0,1,0,0,0.25,0.25,0.5,1,2
-2.2595982,53.4330505,4728380058564738048,114,1,3,1,2,1.75,0.916666666666667,0.957427107756338,0.523809523809524,0.547101204432193
-2.2596037,53.4339493,-4347429581144011264,84,1,0,1,1,0.75,0.25,0.5,0.333333333333333,0.666666666666667
-2.2596311,53.4384435,2486736712152068608,53,2,0,0,1,0.75,0.916666666666667,0.957427107756338,1.22222222222222,1.27656947700845
-2.2596641,53.4438366,6267195244730139648,24,2,0,0,1,0.75,0.916666666666667,0.957427107756338,1.22222222222222,1.27656947700845
-2.2596805,53.4465331,4813593830928761856,67,1,2,0,2,1.25,0.916666666666667,0.957427107756338,0.733333333333333,0.765941686205071
-2.2597299,53.4546226,6467569402093212672,35,2,1,0,2,1.25,0.916666666666667,0.957427107756338,0.733333333333333,0.765941686205071
-2.2597574,53.4591168,8864222466996233216,100,4,4,0,2,2.5,3.66666666666667,1.91485421551268,1.46666666666667,0.765941686205071
-2.2598068,53.4672063,5538582275697341440,93,3,3,1,1,2,1.33333333333333,1.15470053837925,0.666666666666667,0.577350269189626
-2.2598233,53.4699029,5428003152784542720,82,0,2,4,2,2,2.66666666666667,1.63299316185545,1.33333333333333,0.816496580927726
-2.2599002,53.4824865,1937378668414715648,62,2,0,1,1,1,0.666666666666667,0.816496580927726,0.666666666666667,0.816496580927726
-2.2599167,53.485183,5081524606056244224,68,1,1,1,0,0.75,0.25,0.5,0.333333333333333,0.666666666666667
-2.2581586,53.4438398,4768270369095828480,28,0,0,1,0,0.25,0.25,0.5,1,2
-2.2581804,53.4474352,-4295180408545597952,160,7,1,0,0,2,11.3333333333333,3.36650164612069,5.66666666666667,1.68325082306035
-2.2582077,53.4519294,9205998164829418496,45,0,1,1,0,0.5,0.333333333333333,0.577350269189626,0.666666666666667,1.15470053837925
-2.2582131,53.4528282,7688969206081764352,72,1,1,2,3,1.75,0.916666666666667,0.957427107756338,0.523809523809524,0.547101204432193
-2.2582513,53.4591201,-1007389654633267456,96,4,2,4,6,4,2.66666666666667,1.63299316185545,0.666666666666667,0.408248290463863
-2.258295,53.4663108,-3233283323207055872,99,4,3,1,3,2.75,1.58333333333333,1.25830573921179,0.575757575757576,0.457565723349742
-2.2583332,53.4726026,1459857957755788032,167,6,5,8,3,5.5,4.33333333333333,2.08166599946613,0.787878787878788,0.37848472717566
-2.2585137,53.5022641,-5992403126214425600,97,1,3,3,0,1.75,2.25,1.5,1.28571428571429,0.857142857142857
-2.2586232,53.5202407,-418218863092877568,48,1,0,0,0,0.25,0.25,0.5,1,2
-2.2566368,53.4411466,-7727797502955529216,73,0,0,0,1,0.25,0.25,0.5,1,2
-2.2566693,53.4465396,2277113781933741824,53,0,0,3,1,1,2,1.4142135623731,2,1.4142135623731
-2.2566856,53.4492361,-6539516393388987392,63,0,1,1,0,0.5,0.333333333333333,0.577350269189626,0.666666666666667,1.15470053837925
-2.2567127,53.4537303,-4155465383613604352,74,1,3,2,2,2,0.666666666666667,0.816496580927726,0.333333333333333,0.408248290463863
-2.2567236,53.455528,3644611249090808320,76,1,2,2,2,1.75,0.25,0.5,0.142857142857143,0.285714285714286
-2.2567778,53.4645164,2260235857620370176,113,1,1,2,3,1.75,0.916666666666667,0.957427107756338,0.523809523809524,0.547101204432193
-2.2568539,53.4771001,-682958741977944320,21,0,1,0,0,0.25,0.25,0.5,1,2
-2.2568702,53.4797966,1963039215706292992,112,1,2,2,3,2,0.666666666666667,0.816496580927726,0.333333333333333,0.408248290463863
-2.2568919,53.4833919,-525235792793170176,326,8,6,7,7,7,0.666666666666667,0.816496580927726,0.0952380952380952,0.116642368703961
-2.2572895,53.5490064,7610614802729408512,74,2,1,1,0,1,0.666666666666667,0.816496580927726,0.666666666666667,0.816496580927726
-2.2551799,53.4492393,-860152054007299328,131,2,0,0,4,1.5,3.66666666666667,1.91485421551268,2.44444444444444,1.27656947700845
-2.2552824,53.4663173,5793172649282263040,129,2,1,0,2,1.25,0.916666666666667,0.957427107756338,0.733333333333333,0.765941686205071
-2.2554877,53.500473,862442449795084032,31,2,0,0,1,0.75,0.916666666666667,0.957427107756338,1.22222222222222,1.27656947700845
-2.2554932,53.5013718,-158159025146785056,74,2,0,1,0,0.75,0.916666666666667,0.957427107756338,1.22222222222222,1.27656947700845
-2.2555202,53.5058659,6673074221816139776,90,1,0,2,1,1,0.666666666666667,0.816496580927726,0.666666666666667,0.816496580927726
-2.2555364,53.5085624,-781433892062738688,114,0,3,0,2,1.25,2.25,1.5,1.8,1.2
