"x","y","cell_id","population","infected_DM_0","infected_DM_1","infected_DM_2","infected_DM_3","u","var","sd","IoD","CoV"
-2.258295,53.4663108,-3233283323207055872,99,0,2,1,2,1.25,0.916666666666667,0.957427107756338,0.733333333333333,0.765941686205071
-2.2583332,53.4726026,1459857957755788032,167,0,0,3,4,1.75,4.25,2.06155281280883,2.42857142857143,1.1780301787479
-2.258377,53.4797933,234995243515850464,2,0,1,0,0,0.25,0.25,0.5,1,2
-2.2585137,53.5022641,-5992403126214425600,97,0,0,1,0,0.25,0.25,0.5,1,2
-2.2566368,53.4411466,-7727797502955529216,73,0,1,0,1,0.5,0.333333333333333,0.577350269189626,0.666666666666667,1.15470053837925
-2.2566693,53.4465396,2277113781933741824,53,0,0,0,1,0.25,0.25,0.5,1,2
-2.2566856,53.4492361,-6539516393388987392,63,1,0,1,2,1,0.666666666666667,0.816496580927726,0.666666666666667,0.816496580927726
-2.2567127,53.4537303,-4155465383613604352,74,0,1,1,1,0.75,0.25,0.5,0.333333333333333,0.666666666666667
-2.2567236,53.455528,3644611249090808320,76,1,0,0,0,0.25,0.25,0.5,1,2
-2.2567778,53.4645164,2260235857620370176,113,1,0,2,0,0.75,0.916666666666667,0.957427107756338,1.22222222222222,1.27656947700845
-2.2568702,53.4797966,1963039215706292992,112,1,1,1,3,1.5,1,1,0.666666666666667,0.666666666666667
-2.2568919,53.4833919,-525235792793170176,326,1,3,4,1,2.25,2.25,1.5,1,0.666666666666667
-2.2551799,53.4492393,-860152054007299328,131,1,2,1,2,1.5,0.333333333333333,0.577350269189626,0.222222222222222,0.38490017945975
-2.2552824,53.4663173,5793172649282263040,129,1,2,4,1,2,2,1.4142135623731,1,0.707106781186548
-2.2554932,53.5013718,-158159025146785056,74,1,0,0,0,0.25,0.25,0.5,1,2
-2.2555202,53.5058659,6673074221816139776,90,1,0,1,1,0.75,0.25,0.5,0.333333333333333,0.666666666666667
-2.2555364,53.5085624,-781433892062738688,114,0,2,0,0,0.5,1,1,2,2
-2.2556231,53.5229437,4978291221835222016,75,1,0,0,0,0.25,0.25,0.5,1,2
-2.2536635,53.4474449,-7152446989104167936,100,2,1,2,2,1.75,0.25,0.5,0.142857142857143,0.285714285714286
-2.2537976,53.4699158,56118646441252584,104,3,2,0,1,1.5,1.66666666666667,1.29099444873581,1.11111111111111,0.86066296582387
-2.2539157,53.4896902,-3352035843012958720,143,2,2,0,2,1.5,1,1,0.666666666666667,0.666666666666667
-2.2541255,53.5247446,4639672873337064448,102,1,1,0,0,0.5,0.333333333333333,0.577350269189626,0.666666666666667,1.15470053837925
-2.2521259,53.442055,4164675140155534848,102,0,0,2,1,0.75,0.916666666666667,0.957427107756338,1.22222222222222,1.27656947700845
